,MW,Result,home_team_name,away_team_name,Hteam_G_got_M,Ateam_G_got_M,Hteam_G_opp_M,Ateam_G_opp_M,Hteam_CC_got_M,Ateam_CC_got_M,Hteam_CC_opp_M,Ateam_CC_opp_M,Hteam_F_got_M,Ateam_F_got_M,Hteam_F_opp_M,Ateam_F_opp_M,Hteam_YC_got_M,Ateam_YC_got_M,Hteam_YC_opp_M,Ateam_YC_opp_M,Hteam_RC_got_M,Ateam_RC_got_M,Hteam_RC_opp_M,Ateam_RC_opp_M,Hteam_SH_got_M,Ateam_SH_got_M,Hteam_SH_opp_M,Ateam_SH_opp_M,Hteam_SoT_got_M,Ateam_SoT_got_M,Hteam_SoT_opp_M,Ateam_SoT_opp_M,Diff_HT_G_M,Diff_AT_G_M,Diff_HT_CC_M,Diff_AT_CC_M,Diff_HT_F_M,Diff_AT_F_M,Diff_HT_RC_M,Diff_AT_RC_M,Diff_HT_SH_M,Diff_AT_SH_M,Diff_HT_SoT_M,Diff_AT_SoT_M,Diff_HT_YC_M,Diff_AT_YC_M,Diff_ov,Hteam_Bef1_W,Hteam_Bef1_D,Hteam_Bef1_L,Ateam_Bef1_W,Ateam_Bef1_D,Ateam_Bef1_L,Hteam_Bef2_W,Hteam_Bef2_D,Hteam_Bef2_L,Ateam_Bef2_W,Ateam_Bef2_D,Ateam_Bef2_L,Hteam_Bef3_W,Hteam_Bef3_D,Hteam_Bef3_L,Ateam_Bef3_W,Ateam_Bef3_D,Ateam_Bef3_L,Hteam_Bef4_W,Hteam_Bef4_D,Hteam_Bef4_L,Ateam_Bef4_W,Ateam_Bef4_D,Ateam_Bef4_L,Hteam_Bef5_W,Hteam_Bef5_D,Hteam_Bef5_L,Ateam_Bef5_W,Ateam_Bef5_D,Ateam_Bef5_L,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,pressure,precipType_None,precipType_rain,precipType_snow,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
288,34,A,Leicester City,Chelsea,0.9459459459459459,1.7567567567567568,1.3783783783783783,0.7027027027027027,4.891891891891892,5.297297297297297,5.4324324324324325,4.0,10.486486486486486,8.864864864864865,8.486486486486486,10.243243243243244,1.2432432432432432,1.7297297297297298,1.3783783783783783,2.108108108108108,0.10810810810810811,0.08108108108108109,0.10810810810810811,0.1891891891891892,8.054054054054054,9.18918918918919,9.027027027027026,7.162162162162162,3.6216216216216215,4.45945945945946,4.324324324324325,3.027027027027027,-0.43243243243243235,1.054054054054054,-0.5405405405405403,1.2972972972972974,2.0,-1.378378378378379,0.0,-0.10810810810810811,-0.9729729729729719,2.027027027027027,-0.7027027027027031,1.4324324324324325,-0.1351351351351351,-0.37837837837837807,-11.709876543209873,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,56.69,39.89,56.69,40.54,0.47,35.13,0.63,0.37,1010.8,0,1,0,0.1237,0.7422,0.94,57.19,39.34,57.19,42.06,5,6.087,249,13.56,4.66
289,34,H,Leicester City,Newcastle United,0.9459459459459459,0.918918918918919,1.3783783783783783,1.4594594594594594,4.891891891891892,5.0,5.4324324324324325,4.297297297297297,10.486486486486486,10.054054054054054,8.486486486486486,10.756756756756756,1.2432432432432432,1.6756756756756757,1.3783783783783783,2.2432432432432434,0.10810810810810811,0.13513513513513514,0.10810810810810811,0.0,8.054054054054054,7.4324324324324325,9.027027027027026,8.0,3.6216216216216215,4.054054054054054,4.324324324324325,4.0,-0.43243243243243235,-0.5405405405405405,-0.5405405405405403,0.7027027027027026,2.0,-0.7027027027027017,0.0,0.13513513513513514,-0.9729729729729719,-0.5675675675675675,-0.7027027027027031,0.05405405405405439,-0.1351351351351351,-0.5675675675675678,-4.342592592592595,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,54.71,43.68,54.71,37.65,0.65,37.37,0.7,0.46,1010.1,0,1,0,0.0888,0.5063,0.9,55.21,44.96,55.21,37.16,5,6.215,121,7.83,3.31
290,35,H,Liverpool,Queens Park Rangers,1.2702702702702702,1.027027027027027,1.0,1.5945945945945945,4.648648648648648,4.324324324324325,4.837837837837838,5.702702702702703,9.216216216216216,10.405405405405405,11.432432432432432,9.945945945945946,1.5945945945945945,1.8918918918918919,1.837837837837838,1.2972972972972974,0.08108108108108109,0.05405405405405406,0.08108108108108109,0.08108108108108109,10.243243243243244,8.756756756756756,7.243243243243243,9.675675675675675,4.783783783783784,3.918918918918919,3.4864864864864864,4.648648648648648,0.2702702702702702,-0.5675675675675675,-0.18918918918918948,-1.378378378378378,-2.216216216216216,0.45945945945945965,0.0,-0.02702702702702703,3.000000000000001,-0.9189189189189193,1.2972972972972978,-0.7297297297297294,-0.24324324324324342,0.5945945945945945,4.290123456790127,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,44.48,40.67,44.48,38.08,0.69,38.54,0.76,0.46,1009.2,0,1,0,0.0022,0.0108,0.55,48.91,44.76,48.91,40.88,5,6.215,117,13.32,7.3
291,35,H,West Ham United,Burnley,1.135135135135135,0.7027027027027027,1.135135135135135,1.4054054054054055,5.702702702702703,4.1891891891891895,5.351351351351352,5.513513513513513,9.72972972972973,9.54054054054054,10.64864864864865,9.675675675675675,1.5945945945945945,1.5945945945945945,1.4054054054054055,1.5945945945945945,0.05405405405405406,0.02702702702702703,0.16216216216216217,0.05405405405405406,7.945945945945946,7.486486486486487,9.864864864864865,8.432432432432432,3.918918918918919,3.2432432432432434,4.621621621621622,3.972972972972973,0.0,-0.7027027027027027,0.35135135135135087,-1.3243243243243237,-0.9189189189189193,-0.1351351351351351,-0.10810810810810811,-0.02702702702702703,-1.9189189189189193,-0.9459459459459447,-0.7027027027027031,-0.7297297297297294,0.18918918918918903,0.0,4.9876543209876445,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,57.68,47.54,57.68,40.81,0.51,39.18,0.68,0.46,1009.7,1,0,0,0,0.0007,0.07,58.18,49.28,58.18,41.91,7,6.216,92,13.74,6.12
292,35,H,Swansea City,Stoke City,1.1081081081081081,1.054054054054054,1.1891891891891893,1.135135135135135,3.5135135135135136,4.8108108108108105,5.054054054054054,5.486486486486487,9.513513513513514,11.324324324324325,11.45945945945946,10.35135135135135,1.3243243243243243,2.0,1.9189189189189189,1.6216216216216217,0.13513513513513514,0.0,0.05405405405405406,0.10810810810810811,7.675675675675675,6.891891891891892,9.513513513513514,6.5675675675675675,3.7027027027027026,3.0,4.54054054054054,2.918918918918919,-0.08108108108108114,-0.08108108108108114,-1.5405405405405408,-0.6756756756756763,-1.9459459459459456,0.9729729729729737,0.08108108108108109,-0.10810810810810811,-1.8378378378378386,0.32432432432432456,-0.8378378378378377,0.08108108108108114,-0.5945945945945945,0.3783783783783783,-0.5740740740740762,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,51.99,50.53,51.99,36.9,0.8,44.33,0.85,0.46,1006.1,0,1,0,0.0012,0.0076,0.5,52.49,50.04,52.49,43.37,5,5.545,96,23.87,13.71
293,35,H,Sunderland,Southampton,0.7567567567567568,1.2702702702702702,1.3513513513513513,0.7027027027027027,4.621621621621622,5.108108108108108,4.864864864864865,3.945945945945946,10.621621621621621,11.162162162162161,10.945945945945946,9.72972972972973,2.3513513513513513,1.4594594594594594,1.7297297297297298,1.3243243243243243,0.05405405405405406,0.05405405405405406,0.10810810810810811,0.08108108108108109,6.297297297297297,8.378378378378379,9.945945945945946,6.5675675675675675,3.108108108108108,3.6486486486486487,4.45945945945946,2.6486486486486487,-0.5945945945945945,0.5675675675675674,-0.24324324324324298,1.1621621621621618,-0.32432432432432456,1.4324324324324316,-0.05405405405405406,-0.02702702702702703,-3.6486486486486482,1.8108108108108114,-1.3513513513513518,1.0,0.6216216216216215,0.1351351351351351,-1.5216049382715937,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,46.01,39.79,46.01,38.65,0.46,36.16,0.75,0.46,1012.2,0,1,0,0.0006,0.0048,0.43,49.22,42.45,49.22,38.16,5,6.203,107,14.06,3.92
294,35,H,Aston Villa,Everton,0.7027027027027027,1.1891891891891893,1.2972972972972974,1.162162162162162,4.162162162162162,4.45945945945946,5.378378378378378,4.972972972972973,9.756756756756756,8.972972972972974,10.297297297297296,11.297297297297296,1.837837837837838,1.6216216216216217,1.6756756756756757,2.081081081081081,0.1891891891891892,0.05405405405405406,0.08108108108108109,0.08108108108108109,7.243243243243243,8.027027027027026,8.162162162162161,8.54054054054054,3.2972972972972974,3.864864864864865,4.054054054054054,3.5135135135135136,-0.5945945945945946,0.027027027027027195,-1.2162162162162158,-0.5135135135135132,-0.5405405405405403,-2.324324324324323,0.10810810810810811,-0.02702702702702703,-0.9189189189189184,-0.513513513513514,-0.756756756756757,0.3513513513513513,0.16216216216216228,-0.45945945945945943,-4.024691358024697,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,51.8,41.56,51.8,38.29,0.69,37.79,0.73,0.46,1009.5,0,1,0,0.0001,0.0006,0.13,52.3,44.31,52.3,39.93,5,6.215,97,14.69,5.86
295,35,A,Manchester United,West Bromwich Albion,1.5945945945945945,0.8648648648648649,0.918918918918919,1.2432432432432432,5.216216216216216,4.324324324324325,4.027027027027027,4.351351351351352,10.486486486486486,9.783783783783784,9.81081081081081,10.35135135135135,1.6486486486486487,1.5675675675675675,1.8918918918918919,1.162162162162162,0.10810810810810811,0.08108108108108109,0.10810810810810811,0.02702702702702703,6.756756756756757,7.324324324324325,6.054054054054054,8.594594594594595,3.054054054054054,3.6216216216216215,2.972972972972973,4.162162162162162,0.6756756756756755,-0.3783783783783783,1.1891891891891886,-0.027027027027027195,0.6756756756756754,-0.5675675675675667,0.0,0.05405405405405406,0.7027027027027026,-1.2702702702702702,0.08108108108108114,-0.5405405405405408,-0.2432432432432432,0.4054054054054055,6.932098765432102,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,44.54,41.19,44.54,39.36,0.64,37.74,0.75,0.46,1010.0,0,1,0,0.0022,0.013,0.82,49.46,45.45,49.46,40.98,5,6.216,107,19.38,7.1
296,35,H,Chelsea,Crystal Palace,1.837837837837838,1.135135135135135,0.7297297297297297,1.2702702702702702,5.45945945945946,4.972972972972973,4.054054054054054,5.702702702702703,8.891891891891891,11.864864864864865,10.513513513513514,10.675675675675675,1.7297297297297298,1.5945945945945945,2.135135135135135,1.6756756756756757,0.08108108108108109,0.10810810810810811,0.1891891891891892,0.02702702702702703,9.35135135135135,8.054054054054054,7.378378378378378,8.972972972972974,4.45945945945946,3.72972972972973,3.108108108108108,3.7027027027027026,1.1081081081081083,-0.1351351351351351,1.4054054054054053,-0.7297297297297298,-1.6216216216216228,1.1891891891891895,-0.10810810810810811,0.08108108108108109,1.9729729729729728,-0.9189189189189193,1.3513513513513518,0.027027027027027195,-0.40540540540540526,-0.08108108108108114,9.725308641975303,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,67.22,52.86,67.22,47.72,0.72,52.05,0.83,0.49,998.1,0,1,0,0.0062,0.025,0.69,67.72,52.37,67.72,49.18,5,5.04,209,18,6.41
297,35,A,Tottenham Hotspur,Manchester City,1.4864864864864864,1.8918918918918919,1.3243243243243243,0.972972972972973,5.324324324324325,6.702702702702703,5.054054054054054,3.4594594594594597,10.594594594594595,10.405405405405405,9.378378378378379,7.351351351351352,1.9189189189189189,1.9189189189189189,1.9189189189189189,1.4054054054054055,0.08108108108108109,0.05405405405405406,0.10810810810810811,0.08108108108108109,8.945945945945946,11.027027027027026,8.594594594594595,6.513513513513513,3.864864864864865,4.513513513513513,3.72972972972973,3.081081081081081,0.16216216216216206,0.9189189189189189,0.2702702702702702,3.243243243243243,1.2162162162162158,3.0540540540540535,-0.02702702702702703,-0.02702702702702703,0.35135135135135087,4.513513513513513,0.1351351351351351,1.432432432432432,0.0,0.5135135135135134,-3.0462962962963047,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,67.02,53.25,67.02,47.36,0.74,52.09,0.83,0.49,998.1,0,1,0,0.0047,0.0238,0.7,67.52,52.76,67.52,48.9,5,5.033,207,18.24,6.46
298,35,A,Hull City,Arsenal,0.8648648648648649,1.7837837837837838,1.2162162162162162,0.8918918918918919,3.891891891891892,6.27027027027027,5.5675675675675675,4.351351351351352,10.837837837837839,9.18918918918919,9.64864864864865,10.324324324324325,1.837837837837838,1.8108108108108107,1.864864864864865,2.108108108108108,0.16216216216216217,0.05405405405405406,0.08108108108108109,0.08108108108108109,7.216216216216216,9.486486486486486,7.5675675675675675,7.243243243243243,3.4054054054054053,4.5675675675675675,3.5675675675675675,3.7027027027027026,-0.3513513513513513,0.8918918918918919,-1.6756756756756754,1.9189189189189184,1.1891891891891895,-1.135135135135135,0.08108108108108109,-0.02702702702702703,-0.35135135135135176,2.243243243243243,-0.16216216216216228,0.8648648648648649,-0.027027027027026973,-0.29729729729729715,-7.08024691358024,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,65.78,46.46,65.78,50.92,0.42,46.08,0.69,0.52,999.7,0,1,0,0.0001,0.0025,0.49,66.28,49.25,66.28,50.43,6,6.217,221,12.85,5.33
299,35,A,Everton,Sunderland,1.1891891891891893,0.7567567567567568,1.162162162162162,1.3513513513513513,4.45945945945946,4.621621621621622,4.972972972972973,4.864864864864865,8.972972972972974,10.621621621621621,11.297297297297296,10.945945945945946,1.6216216216216217,2.3513513513513513,2.081081081081081,1.7297297297297298,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.10810810810810811,8.027027027027026,6.297297297297297,8.54054054054054,9.945945945945946,3.864864864864865,3.108108108108108,3.5135135135135136,4.45945945945946,0.027027027027027195,-0.5945945945945945,-0.5135135135135132,-0.24324324324324298,-2.324324324324323,-0.32432432432432456,-0.02702702702702703,-0.05405405405405406,-0.513513513513514,-3.6486486486486482,0.3513513513513513,-1.3513513513513518,-0.45945945945945943,0.6216216216216215,4.657407407407405,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,53.95,45.43,53.95,42.29,0.58,44.17,0.8,0.69,1012.5,0,1,0,0.0009,0.008,0.36,54.45,47.27,54.45,47.16,5,6.137,259,14.19,8.77
